tiempo,ángulo
'0:0:3.22,215.46
'0:0:3.23,215.73
'0:0:3.24,215.73
'0:0:3.25,215.73
'0:0:3.26,215.81
'0:0:3.27,215.81
'0:0:3.28,215.73
'0:0:3.29,215.73
'0:0:3.3,215.64
'0:0:3.31,215.20
'0:0:3.32,214.49
'0:0:3.33,214.05
'0:0:3.34,213.18
'0:0:3.35,212.30
'0:0:3.36,211.86
'0:0:3.37,210.80
'0:0:3.38,209.66
'0:0:3.39,209.04
'0:0:3.4,207.64
'0:0:3.41,206.23
'0:0:3.42,205.44
'0:0:3.43,203.95
'0:0:3.44,202.36
'0:0:3.45,201.57
'0:0:3.46,199.90
'0:0:3.47,198.06
'0:0:3.48,197.09
'0:0:3.49,194.98
'0:0:3.5,192.87
'0:0:3.51,191.73
'0:0:3.52,189.35
'0:0:3.53,186.89
'0:0:3.54,185.57
'0:0:3.55,183.11
'0:0:3.56,180.74
'0:0:3.57,179.59
'0:0:3.58,177.13
'0:0:3.59,174.76
'0:0:3.6,173.53
'0:0:3.61,171.16
'0:0:3.62,168.61
'0:0:3.63,167.37
'0:0:3.64,164.83
'0:0:3.65,162.19
'0:0:3.66,160.87
'0:0:3.67,158.23
'0:0:3.68,155.77
'0:0:3.69,154.54
'0:0:3.7,152.08
'0:0:3.71,150.32
'0:0:3.72,147.42
'0:0:3.73,146.10
'0:0:3.74,143.38
'0:0:3.75,142.14
'0:0:3.76,141.00
'0:0:3.77,139.07
'0:0:3.78,138.19
'0:0:3.79,136.43
'0:0:3.8,134.58
'0:0:3.81,133.79
'0:0:3.82,132.12
'0:0:3.83,130.63
'0:0:3.84,130.01
'0:0:3.85,128.96
'0:0:3.86,127.99
'0:0:3.87,127.46
'0:0:3.88,126.50
'0:0:3.89,125.62
'0:0:3.9,125.27
'0:0:3.91,124.65
'0:0:3.92,124.12
'0:0:3.93,123.95
'0:0:3.94,123.51
'0:0:3.95,123.16
'0:0:3.96,122.98
'0:0:3.97,122.63
'0:0:3.98,122.45
'0:0:3.99,122.45
'0:0:4.0,122.54
'0:0:4.01,122.89
'0:0:4.02,123.16
'0:0:4.03,123.16
'0:0:4.04,123.51
'0:0:4.05,123.68
'0:0:4.06,124.12
'0:0:4.07,124.83
'0:0:4.08,125.27
'0:0:4.09,126.15
'0:0:4.1,127.29
'0:0:4.11,127.90
'0:0:4.12,129.22
'0:0:4.13,130.54
'0:0:4.14,131.33
'0:0:4.15,132.91
'0:0:4.16,134.50
'0:0:4.17,135.38
'0:0:4.18,137.05
'0:0:4.19,138.80
'0:0:4.2,139.77
'0:0:4.21,141.71
'0:0:4.22,143.64
'0:0:4.23,144.69
'0:0:4.24,146.89
'0:0:4.25,149.00
'0:0:4.26,150.14
'0:0:4.27,152.43
'0:0:4.28,154.72
'0:0:4.29,155.95
'0:0:4.3,158.32
'0:0:4.31,160.69
'0:0:4.32,161.92
'0:0:4.33,164.39
'0:0:4.34,166.67
'0:0:4.35,167.90
'0:0:4.36,172.56
'0:0:4.37,173.70
'0:0:4.38,174.85
'0:0:4.39,177.22
'0:0:4.4,178.36
'0:0:4.41,179.51
'0:0:4.42,181.70
'0:0:4.43,183.99
'0:0:4.44,185.13
'0:0:4.45,187.33
'0:0:4.46,188.91
'0:0:4.47,189.70
'0:0:4.48,191.73
'0:0:4.49,194.10
'0:0:4.5,195.24
'0:0:4.51,197.35
'0:0:4.52,198.93
'0:0:4.53,199.64
'0:0:4.54,201.04
'0:0:4.55,202.54
'0:0:4.56,203.24
'0:0:4.57,204.47
'0:0:4.58,205.44
'0:0:4.59,205.88
'0:0:4.6,206.85
'0:0:4.61,207.64
'0:0:4.62,207.99
'0:0:4.63,208.60
'0:0:4.64,209.13
'0:0:4.65,209.40
'0:0:4.66,209.92
'0:0:4.67,210.36
'0:0:4.68,210.54
'0:0:4.69,210.80
'0:0:4.7,210.98
'0:0:4.71,211.07
'0:0:4.72,211.15
'0:0:4.73,211.15
'0:0:4.74,211.07
'0:0:4.75,211.07
'0:0:4.76,210.80
'0:0:4.77,210.54
'0:0:4.78,209.92
'0:0:4.79,209.22
'0:0:4.8,208.78
'0:0:4.81,207.90
'0:0:4.82,207.11
'0:0:4.83,206.58
'0:0:4.84,205.62
'0:0:4.85,204.47
'0:0:4.86,203.95
'0:0:4.87,202.63
'0:0:4.88,201.22
'0:0:4.89,200.52
'0:0:4.9,199.11
'0:0:4.91,197.53
'0:0:4.92,196.74
'0:0:4.93,194.89
'0:0:4.94,193.13
'0:0:4.95,192.17
'0:0:4.96,190.32
'0:0:4.97,188.30
'0:0:4.98,187.24
'0:0:4.99,185.13
'0:0:5.0,181.79
'0:0:5.01,180.74
'0:0:5.02,178.45
'0:0:5.03,177.31
'0:0:5.04,175.02
'0:0:5.05,173.88
'0:0:5.06,171.59
'0:0:5.07,170.54
'0:0:5.08,168.17
'0:0:5.09,165.88
'0:0:5.1,164.74
'0:0:5.11,162.45
'0:0:5.12,160.17
'0:0:5.13,159.11
'0:0:5.14,156.74
